Complaint_id,Subscriber_id,Complaint_date,Resolution_date,description,Complaint_type
CMP000018,SUB043718,2023-08-19 11:26:33,2023-08-31 03:21:07,Customer reported: Slow internet speed. Issue observed in Vijayawada area. Ticket escalated to Level 1 support.,Slow internet speed
CMP000019,SUB020895,2024-07-26 13:51:14,,Customer reported: International call problem. Issue observed in Ujjain area. Ticket escalated to Level 2 support.,International call problem
CMP000020,SUB015336,2018-04-22 01:00:08,2018-04-26 00:03:36,Customer reported: Portability delay. Issue observed in Udaipur area. Ticket escalated to Level 1 support.,Portability delay
CMP000021,SUB028290,2022-04-04 11:35:05,2022-04-18 07:48:53,Customer reported: Billing issue. Issue observed in Salem area. Ticket escalated to Level 2 support.,Billing issue
CMP000022,SUB043595,2019-02-17 12:39:32,2019-02-18 14:06:56,Customer reported: OTP not received. Issue observed in Chandigarh area. Ticket escalated to Level 2 support.,OTP not received
CMP000023,SUB046283,2020-06-11 08:29:50,,Customer reported: Wrong deduction. Issue observed in Ahmedabad area. Ticket escalated to Level 2 support.,Wrong deduction
CMP000024,SUB021491,2021-06-30 11:47:36,2021-07-05 22:47:13,Customer reported: Billing issue. Issue observed in Vadodara area. Ticket escalated to Level 3 support.,Billing issue
CMP000025,SUB022943,2023-03-16 17:11:22,2023-03-22 15:31:43,Customer reported: Recharge failure. Issue observed in Mangalore area. Ticket escalated to Level 1 support.,Recharge failure
CMP000026,SUB031690,2020-05-30 15:02:12,2020-06-08 16:40:16,Customer reported: Number portability. Issue observed in Vijayawada area. Ticket escalated to Level 3 support.,Number portability
CMP000027,SUB028404,2020-08-03 02:58:51,2020-08-15 23:04:37,Customer reported: Voice call quality. Issue observed in Junagadh area. Ticket escalated to Level 1 support.,Voice call quality
CMP000028,SUB038006,2023-04-25 06:17:05,,Customer reported: Recharge failure. Issue observed in Warangal area. Ticket escalated to Level 3 support.,Recharge failure
CMP000029,SUB046639,2024-07-02 16:03:11,2024-07-03 18:55:01,Customer reported: Data not credited. Issue observed in Bangalore area. Ticket escalated to Level 1 support.,Data not credited
CMP000030,SUB017951,2024-07-11 17:42:03,2024-07-14 19:59:40,Customer reported: Recharge failure. Issue observed in Nagpur area. Ticket escalated to Level 2 support.,Recharge failure
CMP000031,SUB001040,2024-05-24 03:38:17,2024-05-29 13:32:35,Customer reported: Roaming issue. Issue observed in Ludhiana area. Ticket escalated to Level 3 support.,Roaming issue
CMP000032,SUB026070,2023-07-23 10:29:55,2023-07-28 14:56:05,Customer reported: Recharge failure. Issue observed in Kolkata area. Ticket escalated to Level 2 support.,Recharge failure
CMP000033,SUB031807,2019-08-22 10:22:55,2019-08-24 14:45:57,Customer reported: Recharge failure. Issue observed in Mysore area. Ticket escalated to Level 2 support.,Recharge failure
CMP000034,SUB025249,2021-07-01 23:36:31,2021-07-09 23:56:35,Customer reported: Roaming issue. Issue observed in Jodhpur area. Ticket escalated to Level 1 support.,Roaming issue
CMP000035,SUB034812,2020-08-28 18:58:40,2020-08-31 20:28:19,Customer reported: Number portability. Issue observed in Kolhapur area. Ticket escalated to Level 3 support.,Number portability
CMP000036,SUB028491,2020-11-26 19:54:29,2020-11-27 21:22:19,Customer reported: Number portability. Issue observed in Nashik area. Ticket escalated to Level 1 support.,Number portability
CMP000037,SUB048458,2021-12-16 08:03:06,2021-12-20 21:31:54,Customer reported: Portability delay. Issue observed in Kota area. Ticket escalated to Level 2 support.,Portability delay
CMP000038,SUB001370,2024-03-19 01:36:45,,Customer reported: Recharge failure. Issue observed in Nagpur area. Ticket escalated to Level 1 support.,Recharge failure
CMP000039,SUB028451,2024-09-25 09:21:31,2024-10-07 00:16:33,Customer reported: Billing issue. Issue observed in Mumbai area. Ticket escalated to Level 3 support.,Billing issue
CMP000040,SUB039557,2019-10-09 15:50:20,,Customer reported: Billing issue. Issue observed in Mangalore area. Ticket escalated to Level 1 support.,Billing issue
CMP000041,SUB045420,2020-08-16 16:23:29,2020-08-19 19:46:33,Customer reported: Slow internet speed. Issue observed in Delhi area. Ticket escalated to Level 2 support.,Slow internet speed
CMP000042,SUB008640,2021-09-16 05:32:34,2021-09-20 23:46:02,Customer reported: Billing issue. Issue observed in Hubli area. Ticket escalated to Level 1 support.,Billing issue
CMP000043,SUB002771,2021-01-03 14:56:42,2021-01-17 13:07:41,Customer reported: Data not credited. Issue observed in Kolkata area. Ticket escalated to Level 2 support.,Data not credited
CMP000044,SUB000659,2022-07-16 20:53:58,2022-07-19 13:52:13,Customer reported: International call problem. Issue observed in Amritsar area. Ticket escalated to Level 3 support.,International call problem
CMP000045,SUB014940,2020-07-30 21:10:21,2020-08-05 08:32:01,Customer reported: Billing issue. Issue observed in Salem area. Ticket escalated to Level 3 support.,Billing issue
CMP000046,SUB040874,2022-08-26 23:41:09,,Customer reported: Recharge failure. Issue observed in Lucknow area. Ticket escalated to Level 1 support.,Recharge failure
CMP000047,SUB003646,2019-12-04 17:29:12,2019-12-07 15:36:06,Customer reported: Roaming issue. Issue observed in Tiruchirappalli area. Ticket escalated to Level 3 support.,Roaming issue
CMP000048,SUB020151,2024-12-30 01:25:40,,Customer reported: Voice call quality. Issue observed in Kota area. Ticket escalated to Level 2 support.,Voice call quality
CMP000049,SUB049768,2021-06-14 16:20:11,,Customer reported: Wrong deduction. Issue observed in Gwalior area. Ticket escalated to Level 1 support.,Wrong deduction
CMP000050,SUB008022,2022-02-13 19:11:43,2022-02-23 00:03:24,Customer reported: Recharge failure. Issue observed in Mysore area. Ticket escalated to Level 2 support.,Recharge failure
CMP000051,SUB033224,2020-02-28 11:34:22,2020-03-06 12:20:42,Customer reported: Slow internet speed. Issue observed in Kota area. Ticket escalated to Level 3 support.,Slow internet speed
CMP000052,SUB020264,2023-12-25 22:36:20,2023-12-27 18:33:53,Customer reported: SIM activation problem. Issue observed in Ghaziabad area. Ticket escalated to Level 3 support.,SIM activation problem
CMP000053,SUB041222,2020-02-04 01:37:15,,Customer reported: Wrong deduction. Issue observed in Bellary area. Ticket escalated to Level 3 support.,Wrong deduction
CMP000054,SUB001075,2023-10-25 05:02:11,2023-10-30 19:01:04,Customer reported: Voice call quality. Issue observed in Hubli area. Ticket escalated to Level 1 support.,Voice call quality
CMP000055,SUB034750,2022-01-09 13:59:31,2022-01-21 14:42:47,Customer reported: International call problem. Issue observed in Mangalore area. Ticket escalated to Level 3 support.,International call problem
CMP000056,SUB004418,2024-11-21 03:16:51,2024-11-25 09:04:09,Customer reported: International call problem. Issue observed in Mumbai area. Ticket escalated to Level 1 support.,International call problem
CMP000057,SUB049411,2021-09-28 11:22:25,,Customer reported: Call drops. Issue observed in Jodhpur area. Ticket escalated to Level 2 support.,Call drops
CMP000058,SUB043730,2024-12-30 10:32:48,,Customer reported: Roaming issue. Issue observed in Jamnagar area. Ticket escalated to Level 1 support.,Roaming issue
CMP000059,SUB006645,2023-03-19 14:51:12,2023-03-20 18:23:24,Customer reported: Number portability. Issue observed in Faridabad area. Ticket escalated to Level 2 support.,Number portability
CMP000060,SUB030940,2024-05-13 23:12:18,2024-05-16 23:34:52,Customer reported: Number portability. Issue observed in Madurai area. Ticket escalated to Level 3 support.,Number portability
CMP000061,SUB020373,2020-12-14 08:03:43,2020-12-27 05:20:18,Customer reported: OTP not received. Issue observed in Hubli area. Ticket escalated to Level 2 support.,OTP not received
CMP000062,SUB043384,2020-09-08 01:40:26,2020-09-13 07:44:52,Customer reported: Data not credited. Issue observed in Hyderabad area. Ticket escalated to Level 2 support.,Data not credited
CMP000063,SUB004120,2018-08-13 17:17:37,2018-08-25 16:30:45,Customer reported: Billing issue. Issue observed in Durgapur area. Ticket escalated to Level 2 support.,Billing issue
CMP000064,SUB040242,2024-12-30 23:28:02,,Customer reported: SIM activation problem. Issue observed in Siliguri area. Ticket escalated to Level 3 support.,SIM activation problem
CMP000065,SUB019669,2020-09-21 17:08:06,2020-10-03 15:56:20,Customer reported: Voice call quality. Issue observed in Mysore area. Ticket escalated to Level 3 support.,Voice call quality
CMP000066,SUB003846,2023-02-27 07:02:48,2023-03-02 02:51:41,Customer reported: Call drops. Issue observed in Visakhapatnam area. Ticket escalated to Level 2 support.,Call drops
CMP000067,SUB019777,2021-06-16 07:11:58,,Customer reported: Data not credited. Issue observed in Patiala area. Ticket escalated to Level 3 support.,Data not credited
CMP000068,SUB041008,2021-02-09 10:16:29,2021-02-17 00:11:56,Customer reported: Wrong deduction. Issue observed in Coimbatore area. Ticket escalated to Level 1 support.,Wrong deduction
CMP000069,SUB034910,2024-11-05 14:12:25,2024-11-17 13:08:10,Customer reported: Customer service complaint. Issue observed in Delhi area. Ticket escalated to Level 2 support.,Customer service complaint
CMP000070,SUB046172,2024-10-29 01:24:16,2024-11-05 22:05:55,Customer reported: Portability delay. Issue observed in Coimbatore area. Ticket escalated to Level 2 support.,Portability delay
CMP000071,SUB015865,2022-08-26 06:38:06,,Customer reported: Voice call quality. Issue observed in Pune area. Ticket escalated to Level 3 support.,Voice call quality
CMP000072,SUB038585,2019-06-22 06:36:14,,Customer reported: Slow internet speed. Issue observed in Howrah area. Ticket escalated to Level 3 support.,Slow internet speed
CMP000073,SUB048223,2024-04-17 19:12:18,2024-04-21 16:54:56,Customer reported: Number portability. Issue observed in Gurgaon area. Ticket escalated to Level 1 support.,Number portability
CMP000074,SUB004401,2024-03-06 00:28:00,,Customer reported: Voice call quality. Issue observed in Junagadh area. Ticket escalated to Level 2 support.,Voice call quality
CMP000075,SUB035998,2020-06-21 11:10:12,2020-07-01 03:35:17,Customer reported: Number portability. Issue observed in Solapur area. Ticket escalated to Level 1 support.,Number portability
CMP000076,SUB014876,2021-01-21 09:30:04,2021-01-29 01:16:41,Customer reported: Customer service complaint. Issue observed in Gwalior area. Ticket escalated to Level 1 support.,Customer service complaint
CMP000077,SUB026497,2019-06-03 04:51:50,2019-06-08 09:48:30,Customer reported: Number portability. Issue observed in Jodhpur area. Ticket escalated to Level 1 support.,Number portability
CMP000078,SUB002780,2024-02-19 13:39:03,2024-02-29 10:05:19,Customer reported: Recharge failure. Issue observed in Visakhapatnam area. Ticket escalated to Level 1 support.,Recharge failure
CMP000079,SUB009635,2019-07-02 09:52:49,2019-07-14 05:33:52,Customer reported: Slow internet speed. Issue observed in Junagadh area. Ticket escalated to Level 1 support.,Slow internet speed
CMP000080,SUB003954,2019-12-10 01:51:46,2019-12-20 05:48:23,Customer reported: Poor network coverage. Issue observed in Pune area. Ticket escalated to Level 2 support.,Poor network coverage
CMP000081,SUB037009,2020-01-19 09:15:32,2020-01-31 07:39:18,Customer reported: International call problem. Issue observed in Ludhiana area. Ticket escalated to Level 2 support.,International call problem
CMP000082,SUB005778,2024-11-11 03:59:38,2024-11-20 21:32:53,Customer reported: Poor network coverage. Issue observed in Ujjain area. Ticket escalated to Level 1 support.,Poor network coverage
CMP000083,SUB032360,2024-08-07 17:28:36,2024-08-13 19:48:27,Customer reported: OTP not received. Issue observed in Ludhiana area. Ticket escalated to Level 1 support.,OTP not received
CMP000084,SUB049776,2024-10-26 18:30:08,2024-11-09 10:22:51,Customer reported: Call drops. Issue observed in Indore area. Ticket escalated to Level 2 support.,Call drops
CMP000085,SUB025765,2023-06-26 18:21:50,2023-07-05 05:10:38,Customer reported: Data not credited. Issue observed in Lucknow area. Ticket escalated to Level 3 support.,Data not credited
CMP000086,SUB021902,2024-02-10 14:33:53,2024-02-23 23:06:02,Customer reported: Data not credited. Issue observed in Bangalore area. Ticket escalated to Level 2 support.,Data not credited
CMP000087,SUB039261,2024-04-08 16:57:40,2024-04-21 21:43:03,Customer reported: Recharge failure. Issue observed in Amritsar area. Ticket escalated to Level 2 support.,Recharge failure
CMP000088,SUB033364,2018-03-24 03:29:45,2018-04-04 06:29:57,Customer reported: Voice call quality. Issue observed in Coimbatore area. Ticket escalated to Level 3 support.,Voice call quality
CMP000089,SUB013413,2024-12-24 16:46:29,2024-12-30 23:30:21,Customer reported: Roaming issue. Issue observed in Faridabad area. Ticket escalated to Level 1 support.,Roaming issue
CMP000090,SUB017500,2024-09-14 20:42:27,2024-09-22 02:25:08,Customer reported: Portability delay. Issue observed in Jabalpur area. Ticket escalated to Level 1 support.,Portability delay
CMP000091,SUB007475,2019-01-20 17:50:09,2019-01-26 20:36:12,Customer reported: SIM activation problem. Issue observed in Patiala area. Ticket escalated to Level 2 support.,SIM activation problem
CMP000092,SUB001704,2024-10-31 15:10:12,,Customer reported: Recharge failure. Issue observed in Amritsar area. Ticket escalated to Level 2 support.,Recharge failure
CMP000093,SUB020599,2021-05-19 22:51:13,2021-05-20 23:57:04,Customer reported: Wrong deduction. Issue observed in Hubli area. Ticket escalated to Level 3 support.,Wrong deduction
CMP000094,SUB023222,2022-05-18 20:55:22,,Customer reported: Customer service complaint. Issue observed in Guntur area. Ticket escalated to Level 3 support.,Customer service complaint
CMP000095,SUB012774,2018-11-03 03:21:10,2018-11-09 22:03:03,Customer reported: SIM activation problem. Issue observed in Hyderabad area. Ticket escalated to Level 3 support.,SIM activation problem
CMP000096,SUB026457,2018-11-18 19:15:02,2018-11-19 19:21:58,Customer reported: Recharge failure. Issue observed in Durgapur area. Ticket escalated to Level 2 support.,Recharge failure
CMP000097,SUB033036,2023-10-08 23:52:40,2023-10-18 14:07:32,Customer reported: International call problem. Issue observed in Pune area. Ticket escalated to Level 1 support.,International call problem
CMP000098,SUB031070,2020-11-05 18:32:48,2020-11-07 05:45:08,Customer reported: Number portability. Issue observed in Asansol area. Ticket escalated to Level 2 support.,Number portability
CMP000099,SUB031629,2023-12-31 14:30:06,2024-01-06 11:36:22,Customer reported: International call problem. Issue observed in Jodhpur area. Ticket escalated to Level 2 support.,International call problem
CMP000100,SUB031550,2023-04-12 19:18:11,2023-04-19 12:20:40,Customer reported: Slow internet speed. Issue observed in Solapur area. Ticket escalated to Level 3 support.,Slow internet speed
CMP000101,SUB020863,2024-12-09 11:52:01,2024-12-15 19:31:03,Customer reported: Poor network coverage. Issue observed in Surat area. Ticket escalated to Level 3 support.,Poor network coverage
CMP000102,SUB025540,2021-03-26 13:06:22,2021-04-07 22:26:02,Customer reported: Recharge failure. Issue observed in Asansol area. Ticket escalated to Level 1 support.,Recharge failure
CMP000103,SUB011351,2021-07-20 06:18:26,2021-08-02 09:15:40,Customer reported: Number portability. Issue observed in Nagpur area. Ticket escalated to Level 1 support.,Number portability
CMP000104,SUB036223,2023-07-22 00:00:54,2023-07-27 09:35:39,Customer reported: Customer service complaint. Issue observed in Mumbai area. Ticket escalated to Level 2 support.,Customer service complaint
CMP000105,SUB042158,2020-12-21 05:20:21,2020-12-23 16:09:03,Customer reported: Slow internet speed. Issue observed in Meerut area. Ticket escalated to Level 1 support.,Slow internet speed
CMP000106,SUB032738,2021-01-26 01:56:01,2021-02-03 20:34:29,Customer reported: Recharge failure. Issue observed in Aurangabad area. Ticket escalated to Level 1 support.,Recharge failure
CMP000107,SUB028599,2022-05-19 15:41:32,2022-05-21 22:28:03,Customer reported: Portability delay. Issue observed in Vadodara area. Ticket escalated to Level 1 support.,Portability delay
CMP000108,SUB043329,2024-08-27 12:46:56,,Customer reported: Roaming issue. Issue observed in Ghaziabad area. Ticket escalated to Level 3 support.,Roaming issue
CMP000109,SUB044309,2021-07-14 20:21:52,2021-07-26 16:42:28,Customer reported: Number portability. Issue observed in Lucknow area. Ticket escalated to Level 1 support.,Number portability
CMP000110,SUB000879,2019-08-10 17:49:12,,Customer reported: Customer service complaint. Issue observed in Aurangabad area. Ticket escalated to Level 2 support.,Customer service complaint
CMP000111,SUB019021,2019-10-30 23:22:56,2019-11-11 12:32:46,Customer reported: Customer service complaint. Issue observed in Vijayawada area. Ticket escalated to Level 3 support.,Customer service complaint
CMP000112,SUB030743,2022-09-20 23:13:44,2022-09-30 15:35:53,Customer reported: Slow internet speed. Issue observed in Jamnagar area. Ticket escalated to Level 2 support.,Slow internet speed
CMP000113,SUB049359,2020-06-17 21:59:58,,Customer reported: Portability delay. Issue observed in Gurgaon area. Ticket escalated to Level 1 support.,Portability delay
CMP000114,SUB039169,2021-08-03 03:00:36,2021-08-15 03:43:27,Customer reported: Poor network coverage. Issue observed in Kolhapur area. Ticket escalated to Level 3 support.,Poor network coverage
CMP000115,SUB034565,2021-06-19 03:29:13,2021-07-02 18:32:21,Customer reported: Voice call quality. Issue observed in Mumbai area. Ticket escalated to Level 2 support.,Voice call quality
CMP000116,SUB042762,2024-03-23 00:54:44,2024-04-01 17:55:01,Customer reported: Slow internet speed. Issue observed in Agra area. Ticket escalated to Level 3 support.,Slow internet speed
CMP000117,SUB045267,2018-05-22 11:23:02,2018-05-26 10:02:00,Customer reported: Poor network coverage. Issue observed in Guntur area. Ticket escalated to Level 3 support.,Poor network coverage
CMP000118,SUB008873,2022-03-28 10:03:44,,Customer reported: Billing issue. Issue observed in Salem area. Ticket escalated to Level 1 support.,Billing issue
CMP000119,SUB042701,2023-11-13 20:11:30,2023-11-23 07:41:42,Customer reported: Call drops. Issue observed in Siliguri area. Ticket escalated to Level 3 support.,Call drops
CMP000120,SUB028325,2023-12-23 17:00:59,2024-01-02 15:13:10,Customer reported: Slow internet speed. Issue observed in Udaipur area. Ticket escalated to Level 2 support.,Slow internet speed
CMP000121,SUB013840,2024-03-10 17:00:08,2024-03-21 10:48:23,Customer reported: International call problem. Issue observed in Howrah area. Ticket escalated to Level 2 support.,International call problem
CMP000122,SUB048995,2020-07-12 23:53:56,2020-07-22 21:51:54,Customer reported: Roaming issue. Issue observed in Ludhiana area. Ticket escalated to Level 2 support.,Roaming issue
CMP000123,SUB000402,2024-09-18 12:08:39,2024-09-23 08:31:45,Customer reported: Roaming issue. Issue observed in Mysore area. Ticket escalated to Level 1 support.,Roaming issue
CMP000124,SUB013250,2020-12-04 05:32:47,2020-12-17 21:20:54,Customer reported: Number portability. Issue observed in Jodhpur area. Ticket escalated to Level 3 support.,Number portability
CMP000125,SUB022626,2023-12-05 13:05:09,2023-12-14 23:16:52,Customer reported: Slow internet speed. Issue observed in Durgapur area. Ticket escalated to Level 1 support.,Slow internet speed
CMP000126,SUB014821,2021-11-22 06:04:11,2021-11-24 03:13:09,Customer reported: Call drops. Issue observed in Ghaziabad area. Ticket escalated to Level 3 support.,Call drops
CMP000127,SUB011475,2023-09-12 22:02:25,2023-09-26 13:24:17,Customer reported: Recharge failure. Issue observed in Hubli area. Ticket escalated to Level 2 support.,Recharge failure
CMP000128,SUB042030,2024-12-25 03:40:26,2024-12-26 09:35:04,Customer reported: Call drops. Issue observed in Agra area. Ticket escalated to Level 3 support.,Call drops
CMP000129,SUB025312,2024-03-16 11:03:04,,Customer reported: Recharge failure. Issue observed in Faridabad area. Ticket escalated to Level 3 support.,Recharge failure
CMP000130,SUB026871,2023-01-30 19:05:03,2023-02-09 23:49:46,Customer reported: Roaming issue. Issue observed in Kolkata area. Ticket escalated to Level 1 support.,Roaming issue
CMP000131,SUB012972,2018-12-27 08:38:46,2018-12-29 15:46:50,Customer reported: Portability delay. Issue observed in Patiala area. Ticket escalated to Level 3 support.,Portability delay
CMP000132,SUB036948,2019-02-21 22:36:47,2019-02-27 07:24:41,Customer reported: Billing issue. Issue observed in Faridabad area. Ticket escalated to Level 1 support.,Billing issue
CMP000133,SUB046925,2020-07-31 16:46:34,,Customer reported: Wrong deduction. Issue observed in Faridabad area. Ticket escalated to Level 2 support.,Wrong deduction
CMP000134,SUB000823,2023-08-09 10:19:17,2023-08-14 00:01:35,Customer reported: Billing issue. Issue observed in Bangalore area. Ticket escalated to Level 2 support.,Billing issue
CMP000135,SUB015778,2023-02-05 05:35:15,2023-02-07 12:35:56,Customer reported: SIM activation problem. Issue observed in Noida area. Ticket escalated to Level 2 support.,SIM activation problem
CMP000136,SUB047435,2023-11-29 14:28:41,2023-12-12 12:46:20,Customer reported: Billing issue. Issue observed in Hyderabad area. Ticket escalated to Level 2 support.,Billing issue
CMP000137,SUB025611,2021-03-19 01:30:07,2021-04-01 03:24:28,Customer reported: Poor network coverage. Issue observed in Visakhapatnam area. Ticket escalated to Level 3 support.,Poor network coverage
CMP000138,SUB031795,2021-07-06 20:14:54,2021-07-09 03:13:47,Customer reported: Billing issue. Issue observed in Jaipur area. Ticket escalated to Level 3 support.,Billing issue
CMP000139,SUB001926,2024-06-06 10:17:08,2024-06-11 23:56:28,Customer reported: SIM activation problem. Issue observed in Gwalior area. Ticket escalated to Level 2 support.,SIM activation problem
CMP000140,SUB000742,2024-08-01 07:58:16,2024-08-06 23:13:30,Customer reported: Recharge failure. Issue observed in Kota area. Ticket escalated to Level 3 support.,Recharge failure
CMP000141,SUB032897,2023-07-17 02:18:09,2023-07-29 20:47:41,Customer reported: Portability delay. Issue observed in Vadodara area. Ticket escalated to Level 3 support.,Portability delay
CMP000142,SUB009389,2024-02-24 05:55:16,2024-03-08 17:55:34,Customer reported: Recharge failure. Issue observed in Asansol area. Ticket escalated to Level 1 support.,Recharge failure
CMP000143,SUB015157,2024-12-14 14:01:07,2024-12-19 21:34:35,Customer reported: Portability delay. Issue observed in Vijayawada area. Ticket escalated to Level 3 support.,Portability delay
CMP000144,SUB023857,2024-07-18 04:23:56,2024-07-29 19:16:41,Customer reported: Portability delay. Issue observed in Solapur area. Ticket escalated to Level 2 support.,Portability delay
CMP000145,SUB036903,2023-04-15 09:56:40,2023-04-24 19:15:46,Customer reported: Roaming issue. Issue observed in Bellary area. Ticket escalated to Level 2 support.,Roaming issue
CMP000146,SUB012222,2023-02-04 18:48:07,2023-02-16 19:15:42,Customer reported: Customer service complaint. Issue observed in Guntur area. Ticket escalated to Level 2 support.,Customer service complaint
CMP000147,SUB017181,2024-11-26 21:47:56,,Customer reported: Data not credited. Issue observed in Coimbatore area. Ticket escalated to Level 1 support.,Data not credited
CMP000148,SUB018396,2020-02-01 03:40:37,2020-02-12 02:19:15,Customer reported: SIM activation problem. Issue observed in Surat area. Ticket escalated to Level 1 support.,SIM activation problem
CMP000149,SUB048566,2020-09-09 01:21:00,2020-09-13 11:13:22,Customer reported: Voice call quality. Issue observed in Udaipur area. Ticket escalated to Level 2 support.,Voice call quality
CMP000150,SUB037231,2020-05-24 03:02:27,,Customer reported: Roaming issue. Issue observed in Howrah area. Ticket escalated to Level 1 support.,Roaming issue
CMP000151,SUB041631,2024-11-30 04:39:30,,Customer reported: Roaming issue. Issue observed in Amritsar area. Ticket escalated to Level 2 support.,Roaming issue
CMP000152,SUB028334,2024-09-14 15:01:56,2024-09-28 07:48:44,Customer reported: Call drops. Issue observed in Jabalpur area. Ticket escalated to Level 2 support.,Call drops
CMP000153,SUB019561,2024-10-19 09:00:52,2024-11-02 04:52:14,Customer reported: Number portability. Issue observed in Junagadh area. Ticket escalated to Level 1 support.,Number portability
CMP000154,SUB039107,2019-11-14 10:21:28,2019-11-21 09:29:21,Customer reported: Data not credited. Issue observed in Udaipur area. Ticket escalated to Level 2 support.,Data not credited
CMP000155,SUB019369,2019-09-08 22:10:10,,Customer reported: Data not credited. Issue observed in Ajmer area. Ticket escalated to Level 3 support.,Data not credited
CMP000156,SUB046354,2019-10-19 09:41:19,2019-10-23 02:37:16,Customer reported: Poor network coverage. Issue observed in Ludhiana area. Ticket escalated to Level 3 support.,Poor network coverage
CMP000157,SUB019796,2021-02-18 15:06:07,2021-02-19 23:41:40,Customer reported: OTP not received. Issue observed in Salem area. Ticket escalated to Level 3 support.,OTP not received
CMP000158,SUB048808,2024-12-30 22:37:33,,Customer reported: Data not credited. Issue observed in Indore area. Ticket escalated to Level 3 support.,Data not credited
CMP000159,SUB046640,2021-10-25 13:40:25,2021-10-29 08:26:19,Customer reported: Voice call quality. Issue observed in Asansol area. Ticket escalated to Level 3 support.,Voice call quality
CMP000160,SUB012440,2022-08-19 07:17:46,2022-08-26 11:33:37,Customer reported: Roaming issue. Issue observed in Howrah area. Ticket escalated to Level 3 support.,Roaming issue
CMP000161,SUB024903,2020-07-26 12:21:28,2020-07-29 11:16:58,Customer reported: SIM activation problem. Issue observed in Thane area. Ticket escalated to Level 2 support.,SIM activation problem
CMP000162,SUB026553,2020-06-26 09:24:41,2020-07-02 17:57:29,Customer reported: OTP not received. Issue observed in Kolhapur area. Ticket escalated to Level 1 support.,OTP not received
CMP000163,SUB043248,2023-06-03 18:14:24,2023-06-06 00:46:38,Customer reported: Roaming issue. Issue observed in Kolhapur area. Ticket escalated to Level 1 support.,Roaming issue
CMP000164,SUB001931,2023-04-13 00:40:35,,Customer reported: Customer service complaint. Issue observed in Meerut area. Ticket escalated to Level 2 support.,Customer service complaint
CMP000165,SUB022980,2020-02-08 01:39:46,2020-02-14 07:52:51,Customer reported: Voice call quality. Issue observed in Jaipur area. Ticket escalated to Level 1 support.,Voice call quality
CMP000166,SUB045312,2021-02-03 08:17:25,2021-02-08 21:37:28,Customer reported: Data not credited. Issue observed in Bangalore area. Ticket escalated to Level 2 support.,Data not credited
