Offer_id,offer_name,offer_type,offer_status,start_date,end_date,Discount_percent
OFF000042,Military Discount 2,voice_boost,active,2019-03-16 21:50:35,2019-08-12 03:58:57,35.96
OFF000043,Corporate Bundle 2,loyalty,inactive,2021-03-28 00:13:27,2021-07-27 16:18:26,24.29
OFF000044,Family Pack 2,seasonal,expired,2020-10-18 16:57:21,2021-03-25 18:51:09,12.67
OFF000045,Work From Home Pack 2,voice_boost,active,2018-04-30 05:15:18,2018-07-26 21:49:03,29.59
OFF000046,Gaming Pack 2,voice_boost,inactive,2019-01-16 22:17:34,2019-04-02 11:06:59,30.05
OFF000047,OTT Combo 2,voice_boost,active,2021-02-08 12:11:22,2021-06-11 02:27:10,9.88
OFF000048,International Calling Pack 2,combo,inactive,2020-08-10 06:37:42,2020-11-24 06:48:18,14.95
OFF000049,Night Owl Pack 2,seasonal,active,2018-11-06 07:11:08,2019-04-05 13:45:39,22.32
OFF000050,Sports Pack 2,student,expired,2023-04-06 06:44:21,2023-06-13 05:42:50,10.58
OFF000051,IPL Special 2,referral,inactive,2021-11-10 19:27:53,2022-01-03 15:25:36,7.94
OFF000052,Monsoon Offer 2,voice_boost,active,2019-10-17 10:13:26,2019-12-14 16:59:25,14.96
OFF000053,Independence Day Pack 2,combo,inactive,2019-08-12 15:51:29,2020-01-23 02:15:35,40.68
OFF000054,Republic Day Offer 2,student,active,2023-02-27 05:35:40,2023-07-28 00:51:47,23.75
OFF000055,Holi Special 2,student,inactive,2021-12-29 23:11:38,2022-03-12 18:02:47,49.05
OFF000056,Eid Mubarak Pack 2,voice_boost,active,2020-05-23 16:21:10,2020-11-09 02:19:35,11.92
OFF000057,Christmas Bonus 2,corporate,expired,2022-09-11 05:19:00,2022-12-24 22:35:06,42.11
OFF000058,New Subscriber Offer 2,loyalty,expired,2021-05-07 05:57:01,2021-08-22 10:47:19,31.03
OFF000059,Loyalty Reward Pack 2,loyalty,active,2018-12-10 02:30:44,2019-05-02 14:10:36,48.96
OFF000060,Refer and Earn 2,promotional,active,2019-05-11 16:24:43,2019-11-03 22:16:27,33.5
OFF000061,Weekend Data Boost 3,referral,expired,2021-09-21 23:45:59,2021-12-14 14:25:05,19.72
OFF000062,5G Trial Pack 3,referral,expired,2018-12-27 23:51:03,2019-05-07 09:34:30,12.8
OFF000063,Festival Discount 3,seasonal,active,2024-01-04 14:38:28,2024-03-21 01:37:06,28.59
OFF000064,Bonus Data Pack 3,promotional,expired,2020-10-04 22:58:36,2021-03-25 15:25:44,32.8
OFF000065,Unlimited Calls Upgrade 3,student,inactive,2018-09-02 19:30:08,2019-01-09 15:05:35,20.17
OFF000066,Happy Hours Offer 3,loyalty,active,2023-08-10 19:20:17,2023-10-20 06:51:08,46.03
OFF000067,New Year Special 3,combo,active,2019-12-19 08:27:57,2020-02-08 16:44:57,31.42
OFF000068,Diwali Dhamaka 3,loyalty,active,2018-12-03 16:08:55,2019-05-21 16:05:49,6.08
OFF000069,Summer Special 3,referral,expired,2019-06-26 03:57:09,2019-07-26 06:01:36,44.32
OFF000070,Student Discount 3,combo,active,2019-02-14 17:33:20,2019-03-18 08:18:11,44.36
OFF000071,Senior Citizen Plan 3,referral,active,2022-05-05 01:09:05,2022-08-05 14:08:08,47.87
OFF000072,Military Discount 3,corporate,active,2022-07-11 10:24:02,2022-11-18 04:35:48,5.3
OFF000073,Corporate Bundle 3,promotional,inactive,2023-12-18 03:37:45,2024-04-04 05:15:26,41.43
OFF000074,Family Pack 3,combo,active,2021-09-15 21:36:56,2022-03-07 23:41:24,7.45
OFF000075,Work From Home Pack 3,data_boost,expired,2023-02-19 15:55:42,2023-04-09 11:12:39,47.54
OFF000076,Gaming Pack 3,voice_boost,inactive,2020-02-12 09:56:05,2020-05-22 04:14:51,20.64
OFF000077,OTT Combo 3,referral,expired,2021-11-17 21:30:39,2022-05-15 23:32:17,23.29
OFF000078,International Calling Pack 3,festival,active,2024-02-14 23:46:24,2024-05-04 12:10:00,26.68
OFF000079,Night Owl Pack 3,seasonal,inactive,2020-09-21 18:44:20,2020-11-15 23:41:28,35.83
OFF000080,Sports Pack 3,seasonal,inactive,2020-09-13 13:27:17,2020-11-22 00:37:05,9.11
OFF000081,IPL Special 3,referral,active,2018-07-04 23:10:26,2018-08-04 08:30:54,25.99
OFF000082,Monsoon Offer 3,seasonal,active,2024-06-18 11:47:28,2024-09-17 01:01:41,23.99
OFF000083,Independence Day Pack 3,festival,inactive,2023-02-24 21:43:29,2023-08-04 11:12:28,17.68
OFF000084,Republic Day Offer 3,voice_boost,active,2021-09-20 07:54:53,2021-11-18 18:38:34,31.67
OFF000085,Holi Special 3,referral,active,2019-06-03 20:30:10,2019-08-07 23:49:32,26.78
OFF000086,Eid Mubarak Pack 3,combo,active,2019-12-25 07:22:08,2020-05-26 14:49:11,37.43
OFF000087,Christmas Bonus 3,seasonal,active,2018-10-29 04:44:53,2019-04-25 07:55:39,27.78
OFF000088,New Subscriber Offer 3,corporate,active,2023-05-29 11:13:05,2023-09-20 22:09:17,7.69
OFF000089,Loyalty Reward Pack 3,promotional,expired,2024-08-14 12:20:51,2025-01-18 01:23:11,26.36
OFF000090,Refer and Earn 3,referral,expired,2019-11-14 18:35:50,2020-03-10 06:03:35,22.71
OFF000091,Weekend Data Boost 4,corporate,active,2020-06-25 12:20:13,2020-09-30 11:44:50,32.32
OFF000092,5G Trial Pack 4,corporate,active,2019-08-29 09:10:24,2020-01-08 23:38:12,8.24
OFF000093,Festival Discount 4,referral,inactive,2020-07-02 21:59:04,2020-11-11 02:22:47,12.63
OFF000094,Bonus Data Pack 4,festival,active,2021-06-04 13:26:45,2021-09-22 23:22:43,44.65
OFF000095,Unlimited Calls Upgrade 4,corporate,inactive,2021-03-03 23:15:37,2021-04-24 19:36:31,45.49
OFF000096,Happy Hours Offer 4,loyalty,active,2022-09-25 05:17:53,2023-01-18 18:04:44,13.53
OFF000097,New Year Special 4,student,active,2018-05-13 19:47:39,2018-08-13 21:24:16,48.09
OFF000098,Diwali Dhamaka 4,promotional,active,2018-06-07 20:50:13,2018-11-06 22:12:28,19.23
OFF000099,Summer Special 4,data_boost,active,2022-01-06 06:41:12,2022-02-17 04:36:23,29.65
OFF000100,Student Discount 4,referral,active,2024-07-10 07:21:32,2024-11-11 05:50:29,20.49
OFF000101,Senior Citizen Plan 4,voice_boost,active,2020-11-02 16:55:17,2021-03-07 03:27:28,26.64
OFF000102,Military Discount 4,corporate,active,2023-08-03 18:49:58,2023-12-21 02:38:53,36.92
OFF000103,Corporate Bundle 4,corporate,active,2018-02-09 08:48:49,2018-04-08 00:21:07,23.01
OFF000104,Family Pack 4,referral,inactive,2020-06-20 23:24:11,2020-09-24 11:26:16,28.6
OFF000105,Work From Home Pack 4,loyalty,active,2022-11-03 09:03:36,2023-01-13 02:50:42,43.18
OFF000106,Gaming Pack 4,promotional,active,2020-10-03 07:29:18,2021-03-27 23:34:54,35.67
OFF000107,OTT Combo 4,promotional,inactive,2019-03-13 11:09:36,2019-06-28 14:10:16,23.75
OFF000108,International Calling Pack 4,corporate,active,2019-08-08 18:38:32,2020-01-22 20:34:45,5.59
OFF000109,Night Owl Pack 4,student,inactive,2020-10-22 22:32:23,2020-12-05 21:19:42,32.88
OFF000110,Sports Pack 4,voice_boost,active,2022-11-02 19:41:37,2023-03-01 02:02:31,14.26
OFF000111,IPL Special 4,corporate,inactive,2021-01-06 12:57:23,2021-05-08 16:09:51,24.1
OFF000112,Monsoon Offer 4,student,inactive,2021-08-21 00:53:33,2021-10-24 22:52:50,44.11
OFF000113,Independence Day Pack 4,festival,expired,2022-01-01 00:09:39,2022-04-05 18:06:36,33.59
OFF000114,Republic Day Offer 4,loyalty,active,2022-09-02 21:26:46,2023-01-26 02:01:07,17.29
OFF000115,Holi Special 4,seasonal,expired,2021-08-23 00:18:53,2021-09-27 20:12:06,19.6
OFF000116,Eid Mubarak Pack 4,voice_boost,active,2023-02-25 14:37:57,2023-06-16 16:40:19,34.76
OFF000117,Christmas Bonus 4,festival,expired,2023-10-10 22:53:34,2024-03-24 23:59:35,33.91
OFF000118,New Subscriber Offer 4,promotional,active,2020-05-15 05:08:52,2020-10-28 15:33:16,31.4
OFF000119,Loyalty Reward Pack 4,corporate,inactive,2024-07-30 19:55:15,2025-01-04 10:41:32,31.3
OFF000120,Refer and Earn 4,corporate,active,2020-01-01 15:10:28,2020-05-08 07:16:36,37.53
OFF000121,Weekend Data Boost 5,seasonal,expired,2022-03-20 14:46:21,2022-06-13 10:30:13,14.3
OFF000122,5G Trial Pack 5,combo,active,2023-12-05 08:55:08,2024-05-30 02:17:06,15.97
OFF000123,Festival Discount 5,data_boost,inactive,2023-05-04 21:19:07,2023-07-01 04:34:01,10.84
OFF000124,Bonus Data Pack 5,combo,inactive,2020-07-28 21:02:50,2020-10-25 03:26:29,32.66
OFF000125,Unlimited Calls Upgrade 5,corporate,inactive,2024-06-16 11:31:51,2024-07-30 15:43:37,13.02
OFF000126,Happy Hours Offer 5,combo,inactive,2020-09-28 11:57:03,2020-12-08 15:17:50,10.09
OFF000127,New Year Special 5,loyalty,active,2020-12-19 15:10:44,2021-01-28 03:32:56,11.72
OFF000128,Diwali Dhamaka 5,voice_boost,active,2024-01-08 15:48:13,2024-04-04 14:05:28,11.15
OFF000129,Summer Special 5,corporate,expired,2019-05-26 06:14:59,2019-08-20 03:19:26,13.39
OFF000130,Student Discount 5,student,expired,2024-05-23 20:26:09,2024-08-25 18:58:50,46.23
OFF000131,Senior Citizen Plan 5,data_boost,active,2020-01-10 11:43:02,2020-06-06 22:45:35,49.83
OFF000132,Military Discount 5,corporate,active,2020-02-12 10:48:57,2020-07-02 22:56:41,5.39
OFF000133,Corporate Bundle 5,promotional,inactive,2019-07-06 03:11:44,2019-08-25 22:42:00,5.61
OFF000134,Family Pack 5,loyalty,active,2019-01-09 11:32:47,2019-05-08 20:20:49,28.14
OFF000135,Work From Home Pack 5,student,active,2023-03-19 07:29:11,2023-09-15 07:22:54,30.86
OFF000136,Gaming Pack 5,loyalty,expired,2024-02-01 11:19:53,2024-05-23 03:26:33,14.98
OFF000137,OTT Combo 5,corporate,active,2021-07-21 00:42:25,2021-12-09 14:35:08,35.11
OFF000138,International Calling Pack 5,voice_boost,inactive,2022-12-14 00:08:07,2023-04-23 08:25:20,37.68
OFF000139,Night Owl Pack 5,festival,inactive,2019-08-23 00:21:27,2020-01-17 07:33:23,8.08
OFF000140,Sports Pack 5,referral,active,2018-02-10 20:28:47,2018-04-10 15:39:23,44.74
OFF000141,IPL Special 5,seasonal,expired,2021-05-27 19:28:32,2021-11-22 19:54:26,16.8
OFF000142,Monsoon Offer 5,festival,active,2021-03-09 09:43:29,2021-09-03 13:26:02,42.06
OFF000143,Independence Day Pack 5,student,active,2019-06-17 22:15:16,2019-12-06 23:56:06,35.85
OFF000144,Republic Day Offer 5,student,inactive,2018-06-19 15:59:06,2018-11-12 16:45:44,16.73
OFF000145,Holi Special 5,festival,active,2024-08-08 04:43:16,2025-01-25 16:47:13,37.46
OFF000146,Eid Mubarak Pack 5,seasonal,inactive,2021-03-25 21:28:47,2021-07-18 02:18:14,46.32
OFF000147,Christmas Bonus 5,loyalty,active,2018-08-14 05:48:59,2018-10-05 23:35:15,33.48
OFF000148,New Subscriber Offer 5,seasonal,expired,2019-01-03 01:30:13,2019-02-17 13:45:14,34.45
OFF000149,Loyalty Reward Pack 5,loyalty,active,2018-01-13 19:26:14,2018-04-21 03:41:23,7.92
OFF000150,Refer and Earn 5,seasonal,expired,2020-07-20 12:20:58,2021-01-09 07:14:01,9.87
OFF000151,Weekend Data Boost 6,loyalty,active,2021-01-10 17:34:03,2021-03-04 16:58:17,33.45
OFF000152,5G Trial Pack 6,data_boost,inactive,2023-04-22 07:17:35,2023-10-09 09:30:33,19.4
OFF000153,Festival Discount 6,voice_boost,active,2020-01-12 16:56:07,2020-06-25 01:03:30,26.6
OFF000154,Bonus Data Pack 6,seasonal,active,2023-01-16 09:55:58,2023-06-30 21:36:56,31.55
OFF000155,Unlimited Calls Upgrade 6,combo,inactive,2024-08-17 10:46:57,2024-09-21 23:40:35,47.97
OFF000156,Happy Hours Offer 6,data_boost,active,2023-07-16 14:13:05,2023-10-13 01:41:26,26.99
OFF000157,New Year Special 6,seasonal,inactive,2021-12-28 04:16:55,2022-02-24 02:39:06,16.49
OFF000158,Diwali Dhamaka 6,corporate,active,2020-08-23 15:05:12,2020-11-15 08:21:26,12.87
OFF000159,Summer Special 6,seasonal,inactive,2020-04-10 06:44:34,2020-06-06 21:11:28,21.5
OFF000160,Student Discount 6,combo,active,2024-04-03 07:08:15,2024-08-24 14:03:16,25.25
OFF000161,Senior Citizen Plan 6,corporate,active,2020-08-27 04:59:26,2021-01-06 16:45:53,45.98
OFF000162,Military Discount 6,referral,inactive,2019-09-24 17:20:16,2020-01-24 18:15:05,43.19
OFF000163,Corporate Bundle 6,seasonal,active,2018-06-25 04:05:57,2018-09-17 04:01:04,43.67
OFF000164,Family Pack 6,corporate,expired,2022-07-19 02:12:57,2023-01-02 22:17:02,43.76
OFF000165,Work From Home Pack 6,corporate,expired,2022-12-26 07:34:31,2023-03-08 23:21:58,31.41
OFF000166,Gaming Pack 6,student,active,2020-05-29 07:38:10,2020-08-06 01:45:04,42.59
OFF000167,OTT Combo 6,combo,active,2023-11-21 20:29:02,2024-01-31 17:26:57,47.68
OFF000168,International Calling Pack 6,seasonal,inactive,2024-09-11 03:17:34,2025-01-04 15:09:58,45.69
OFF000169,Night Owl Pack 6,data_boost,active,2023-01-06 12:45:58,2023-06-23 05:26:44,27.72
OFF000170,Sports Pack 6,referral,active,2018-06-11 14:54:57,2018-11-20 06:36:35,18.17
OFF000171,IPL Special 6,data_boost,inactive,2019-02-22 19:35:09,2019-04-25 07:26:17,30.3
OFF000172,Monsoon Offer 6,data_boost,active,2021-08-05 09:16:39,2021-11-25 19:06:43,43.46
OFF000173,Independence Day Pack 6,voice_boost,active,2022-12-05 11:27:40,2023-03-18 07:58:35,46.2
OFF000174,Republic Day Offer 6,referral,active,2021-02-10 05:05:40,2021-03-23 10:20:07,46.83
OFF000175,Holi Special 6,student,inactive,2019-09-17 21:05:48,2019-11-20 16:21:02,17.81
OFF000176,Eid Mubarak Pack 6,voice_boost,active,2023-12-22 16:55:20,2024-05-19 03:45:45,47.98
OFF000177,Christmas Bonus 6,combo,expired,2022-07-18 13:31:20,2022-11-09 13:52:35,12.21
OFF000178,New Subscriber Offer 6,student,active,2021-10-03 09:48:43,2021-12-09 17:12:44,39.16
OFF000179,Loyalty Reward Pack 6,corporate,inactive,2022-03-01 18:58:49,2022-05-01 05:54:54,30.19
OFF000180,Refer and Earn 6,student,active,2018-10-29 05:29:56,2019-01-04 00:38:39,27.8
OFF000181,Weekend Data Boost 7,corporate,active,2019-11-22 00:43:19,2020-03-19 00:46:34,38.08
OFF000182,5G Trial Pack 7,data_boost,active,2023-08-10 23:07:36,2023-11-01 04:11:55,36.2
OFF000183,Festival Discount 7,promotional,active,2020-08-07 08:00:07,2020-12-02 19:04:39,38.65
OFF000184,Bonus Data Pack 7,loyalty,inactive,2022-12-19 00:05:56,2023-01-31 06:06:50,43.17
OFF000185,Unlimited Calls Upgrade 7,student,active,2021-03-08 07:01:12,2021-08-01 13:19:50,21.69
OFF000186,Happy Hours Offer 7,seasonal,active,2019-09-08 11:12:54,2019-11-15 18:33:11,48.58
OFF000187,New Year Special 7,combo,active,2018-02-20 07:50:25,2018-06-17 01:40:41,36.95
OFF000188,Diwali Dhamaka 7,promotional,expired,2023-09-11 11:05:12,2023-11-29 23:22:55,18.46
OFF000189,Summer Special 7,corporate,active,2018-10-22 10:19:12,2019-01-03 21:26:39,20.32
OFF000190,Student Discount 7,student,active,2020-07-09 02:19:04,2020-10-17 22:50:07,10.9
OFF000191,Senior Citizen Plan 7,voice_boost,active,2023-12-05 07:45:30,2024-05-25 13:54:36,12.24
OFF000192,Military Discount 7,data_boost,active,2023-03-14 09:07:45,2023-04-20 18:44:58,6.77
OFF000193,Corporate Bundle 7,voice_boost,active,2021-05-09 02:46:48,2021-06-30 12:27:28,11.6
OFF000194,Family Pack 7,voice_boost,active,2019-03-25 16:53:08,2019-08-23 03:59:22,40.52
OFF000195,Work From Home Pack 7,voice_boost,inactive,2021-12-16 19:23:56,2022-03-23 18:57:20,15.78
OFF000196,Gaming Pack 7,referral,active,2019-07-31 18:02:06,2019-12-22 20:18:44,28.46
OFF000197,OTT Combo 7,voice_boost,expired,2022-11-02 16:53:02,2022-12-09 22:29:56,11.29
OFF000198,International Calling Pack 7,combo,active,2022-05-29 06:30:56,2022-08-14 14:54:39,9.39
OFF000199,Night Owl Pack 7,seasonal,active,2019-06-26 17:57:15,2019-10-23 00:48:36,21.96
OFF000200,Sports Pack 7,corporate,active,2022-02-06 13:33:00,2022-05-28 06:35:30,41.78
OFF000201,IPL Special 7,student,inactive,2024-06-27 18:48:24,2024-10-01 19:55:37,44.24
OFF000202,Monsoon Offer 7,data_boost,expired,2019-02-28 04:12:32,2019-06-01 06:46:48,40.95
OFF000203,Independence Day Pack 7,referral,active,2024-01-12 11:56:53,2024-07-07 15:12:50,30.61
OFF000204,Republic Day Offer 7,festival,active,2019-05-03 16:50:17,2019-10-28 06:01:43,38.78
OFF000205,Holi Special 7,data_boost,inactive,2022-06-19 07:10:47,2022-09-23 07:31:38,31.48
OFF000206,Eid Mubarak Pack 7,data_boost,inactive,2019-10-01 23:21:57,2020-01-26 02:05:19,5.11
OFF000207,Christmas Bonus 7,promotional,active,2024-03-24 20:51:18,2024-09-04 19:53:51,12.04
OFF000208,New Subscriber Offer 7,corporate,expired,2023-03-19 02:54:20,2023-05-08 16:15:18,17.99
OFF000209,Loyalty Reward Pack 7,combo,inactive,2023-10-14 04:16:57,2023-11-22 10:02:38,29.29
OFF000210,Refer and Earn 7,data_boost,inactive,2023-07-08 03:20:07,2023-12-15 09:04:31,16.51
OFF000211,Weekend Data Boost 8,loyalty,expired,2020-07-01 18:36:49,2020-09-30 00:47:42,7.69
OFF000212,5G Trial Pack 8,referral,active,2020-09-21 05:19:22,2020-12-19 06:31:22,16.04
OFF000213,Festival Discount 8,student,inactive,2019-07-18 04:50:03,2019-09-22 23:40:24,29.65
OFF000214,Bonus Data Pack 8,corporate,active,2023-05-09 19:22:12,2023-08-10 08:55:08,46.95
OFF000215,Unlimited Calls Upgrade 8,festival,active,2023-08-13 00:53:40,2023-12-01 02:25:42,32.99
OFF000216,Happy Hours Offer 8,loyalty,active,2018-03-02 16:53:10,2018-04-26 03:40:55,22.64
OFF000217,New Year Special 8,combo,active,2019-04-08 09:38:14,2019-09-23 13:22:31,14.46
OFF000218,Diwali Dhamaka 8,combo,active,2022-06-24 07:16:41,2022-10-25 22:42:46,34.93
OFF000219,Summer Special 8,corporate,expired,2022-12-21 14:48:37,2023-04-19 23:58:17,6.65
OFF000220,Student Discount 8,combo,inactive,2019-09-12 23:22:33,2020-01-10 05:02:21,34.19
OFF000221,Senior Citizen Plan 8,student,active,2018-10-01 14:58:06,2018-11-02 03:33:19,19.66
OFF000222,Military Discount 8,data_boost,active,2024-08-30 22:50:08,2025-02-16 00:38:09,44.99
OFF000223,Corporate Bundle 8,referral,inactive,2019-12-30 23:39:37,2020-03-11 06:32:49,15.07
OFF000224,Family Pack 8,loyalty,active,2022-09-27 18:08:49,2023-02-28 04:58:35,38.08
OFF000225,Work From Home Pack 8,corporate,expired,2018-03-05 22:27:10,2018-05-29 06:40:56,46.47
OFF000226,Gaming Pack 8,referral,inactive,2019-01-10 08:01:07,2019-06-08 18:59:54,12.21
OFF000227,OTT Combo 8,student,active,2023-04-13 00:08:01,2023-09-10 19:02:36,44.52
OFF000228,International Calling Pack 8,promotional,active,2020-12-10 00:50:42,2021-02-01 16:53:50,39.33
OFF000229,Night Owl Pack 8,voice_boost,active,2018-04-09 11:49:09,2018-07-08 10:55:42,25.78
OFF000230,Sports Pack 8,student,inactive,2020-09-23 05:33:17,2021-03-12 13:04:06,44.26
OFF000231,IPL Special 8,seasonal,active,2024-09-08 18:52:37,2024-12-14 17:44:53,32.96
OFF000232,Monsoon Offer 8,promotional,active,2021-10-11 16:01:27,2022-01-26 14:54:19,21.52
OFF000233,Independence Day Pack 8,referral,active,2024-04-28 02:20:52,2024-09-13 14:12:21,10.69
OFF000234,Republic Day Offer 8,promotional,expired,2019-11-19 10:31:18,2020-03-05 00:35:46,37.5
OFF000235,Holi Special 8,loyalty,expired,2021-02-25 08:40:49,2021-04-06 23:13:22,13.8
OFF000236,Eid Mubarak Pack 8,student,active,2018-05-14 21:22:31,2018-08-05 22:05:43,9.35
OFF000237,Christmas Bonus 8,promotional,active,2020-05-12 19:32:28,2020-09-10 23:58:03,32.84
OFF000238,New Subscriber Offer 8,referral,active,2019-07-31 23:25:41,2019-10-08 01:05:56,49.98
OFF000239,Loyalty Reward Pack 8,voice_boost,inactive,2023-01-27 11:46:10,2023-03-18 18:30:42,20.67
OFF000240,Refer and Earn 8,seasonal,inactive,2023-11-20 11:13:45,2024-04-23 18:24:58,21.8
OFF000241,Weekend Data Boost 9,promotional,active,2024-02-06 07:47:18,2024-06-14 13:02:19,41.68
OFF000242,5G Trial Pack 9,referral,active,2022-01-14 17:55:48,2022-04-03 00:52:42,9.66
OFF000243,Festival Discount 9,student,active,2018-02-04 03:07:14,2018-04-17 00:28:41,14.88
OFF000244,Bonus Data Pack 9,combo,active,2019-03-07 06:24:20,2019-06-18 04:07:32,15.81
OFF000245,Unlimited Calls Upgrade 9,data_boost,inactive,2022-03-31 00:00:41,2022-05-18 07:37:26,32.43
OFF000246,Happy Hours Offer 9,promotional,expired,2023-09-14 10:34:22,2023-12-28 13:15:28,46.84
OFF000247,New Year Special 9,student,expired,2024-04-28 23:52:44,2024-07-15 23:25:04,31.41
OFF000248,Diwali Dhamaka 9,seasonal,expired,2022-01-28 02:24:53,2022-06-20 19:28:07,13.01
OFF000249,Summer Special 9,loyalty,active,2021-09-18 19:52:54,2022-03-17 09:59:28,16.37
OFF000250,Student Discount 9,voice_boost,active,2018-05-22 20:39:14,2018-09-08 05:03:58,10.76
OFF000251,Senior Citizen Plan 9,combo,active,2022-01-16 19:14:12,2022-07-07 21:40:40,17.11
OFF000252,Military Discount 9,promotional,inactive,2021-01-22 17:08:21,2021-04-05 20:24:01,38.73
OFF000253,Corporate Bundle 9,student,active,2022-09-12 15:33:13,2023-02-19 07:41:59,43.42
OFF000254,Family Pack 9,student,expired,2021-12-22 21:25:07,2022-04-15 09:29:56,20.93
OFF000255,Work From Home Pack 9,combo,active,2022-03-23 15:46:25,2022-05-27 08:13:41,38.89
OFF000256,Gaming Pack 9,seasonal,expired,2019-06-16 11:00:33,2019-09-03 10:22:30,22.03
OFF000257,OTT Combo 9,data_boost,active,2018-06-10 17:50:51,2018-08-01 12:29:27,35.99
OFF000258,International Calling Pack 9,data_boost,active,2019-01-30 19:59:11,2019-06-03 19:06:21,29.26
OFF000259,Night Owl Pack 9,promotional,active,2021-05-07 21:30:23,2021-10-10 06:35:50,5.08
OFF000260,Sports Pack 9,combo,expired,2022-01-14 18:12:44,2022-03-14 20:29:25,22.63
OFF000261,IPL Special 9,corporate,expired,2024-09-24 15:57:16,2025-03-18 16:59:09,45.19
OFF000262,Monsoon Offer 9,data_boost,inactive,2020-07-29 03:17:11,2020-08-28 03:30:29,45.41
