benefit_id,benefit_name,benefit_status,benefit_type,benefit_provider
BEN000114,Roaming Pack 7 Days Tier 6,active,voice,Netflix
BEN000115,Caller Tune Free 3 Months Tier 6,inactive,entertainment,Sony
BEN000116,VoLTE Priority Tier 6,inactive,communication,Zee
BEN000117,Wi-Fi Calling Tier 6,active,security,Google
BEN000118,Cloud Backup 50GB Tier 6,active,data,Telecom Co
BEN000119,Priority Customer Support Tier 6,active,data,Zee
BEN000120,Cricket Live Streaming Tier 6,inactive,voice,Netflix
BEN000121,Disney+ Hotstar 1 Year Tier 7,active,data,Netflix
BEN000122,Amazon Prime 6 Months Tier 7,active,data,Telecom Co
BEN000123,Netflix Basic 3 Months Tier 7,active,security,Amazon
BEN000124,SonyLIV 6 Months Tier 7,active,data,Google
BEN000125,ZEE5 Annual Tier 7,active,voice,Sony
BEN000126,JioSaavn Premium Tier 7,active,storage,Sony
BEN000127,Spotify Premium 3 Months Tier 7,active,entertainment,Netflix
BEN000128,YouTube Premium 3 Months Tier 7,active,entertainment,Disney
BEN000129,McAfee Antivirus 1 Year Tier 7,active,data,JioSaavn
BEN000130,Google Drive 100GB Tier 7,inactive,communication,Disney
BEN000131,1000 Extra SMS Tier 7,active,voice,Zee
BEN000132,5GB Extra Data Daily Tier 7,active,entertainment,Spotify
BEN000133,Free International SMS 50 Tier 7,active,voice,Telecom Co
BEN000134,Roaming Pack 7 Days Tier 7,active,communication,Spotify
BEN000135,Caller Tune Free 3 Months Tier 7,active,security,Zee
BEN000136,VoLTE Priority Tier 7,active,security,Telecom Co
BEN000137,Wi-Fi Calling Tier 7,inactive,storage,Disney
BEN000138,Cloud Backup 50GB Tier 7,active,voice,Disney
BEN000139,Priority Customer Support Tier 7,active,voice,Netflix
BEN000140,Cricket Live Streaming Tier 7,active,security,Amazon
BEN000141,Disney+ Hotstar 1 Year Tier 8,active,data,Google
BEN000142,Amazon Prime 6 Months Tier 8,active,communication,Zee
BEN000143,Netflix Basic 3 Months Tier 8,active,security,Zee
BEN000144,SonyLIV 6 Months Tier 8,active,communication,Zee
BEN000145,ZEE5 Annual Tier 8,active,voice,Netflix
BEN000146,JioSaavn Premium Tier 8,active,communication,Telecom Co
BEN000147,Spotify Premium 3 Months Tier 8,active,value_added,Spotify
BEN000148,YouTube Premium 3 Months Tier 8,inactive,security,Zee
BEN000149,McAfee Antivirus 1 Year Tier 8,active,data,Spotify
BEN000150,Google Drive 100GB Tier 8,active,entertainment,Telecom Co
BEN000151,1000 Extra SMS Tier 8,active,voice,Disney
BEN000152,5GB Extra Data Daily Tier 8,active,communication,Telecom Co
BEN000153,Free International SMS 50 Tier 8,active,storage,Netflix
BEN000154,Roaming Pack 7 Days Tier 8,inactive,storage,McAfee
BEN000155,Caller Tune Free 3 Months Tier 8,active,entertainment,Amazon
BEN000156,VoLTE Priority Tier 8,active,voice,Amazon
BEN000157,Wi-Fi Calling Tier 8,active,communication,Telecom Co
BEN000158,Cloud Backup 50GB Tier 8,active,communication,Netflix
BEN000159,Priority Customer Support Tier 8,active,voice,Amazon
BEN000160,Cricket Live Streaming Tier 8,active,voice,Telecom Co
BEN000161,Disney+ Hotstar 1 Year Tier 9,active,voice,Disney
BEN000162,Amazon Prime 6 Months Tier 9,active,storage,McAfee
BEN000163,Netflix Basic 3 Months Tier 9,active,security,Spotify
BEN000164,SonyLIV 6 Months Tier 9,active,voice,Telecom Co
BEN000165,ZEE5 Annual Tier 9,active,storage,McAfee
BEN000166,JioSaavn Premium Tier 9,active,voice,McAfee
BEN000167,Spotify Premium 3 Months Tier 9,active,security,Amazon
BEN000168,YouTube Premium 3 Months Tier 9,inactive,data,Zee
BEN000169,McAfee Antivirus 1 Year Tier 9,active,value_added,Disney
BEN000170,Google Drive 100GB Tier 9,active,storage,Telecom Co
BEN000171,1000 Extra SMS Tier 9,active,value_added,Netflix
BEN000172,5GB Extra Data Daily Tier 9,inactive,voice,Netflix
BEN000173,Free International SMS 50 Tier 9,inactive,data,Zee
BEN000174,Roaming Pack 7 Days Tier 9,active,value_added,Sony
BEN000175,Caller Tune Free 3 Months Tier 9,active,storage,McAfee
BEN000176,VoLTE Priority Tier 9,inactive,voice,Zee
BEN000177,Wi-Fi Calling Tier 9,active,storage,Telecom Co
BEN000178,Cloud Backup 50GB Tier 9,active,storage,Zee
BEN000179,Priority Customer Support Tier 9,active,entertainment,Spotify
BEN000180,Cricket Live Streaming Tier 9,inactive,data,Telecom Co
BEN000181,Disney+ Hotstar 1 Year Tier 10,active,value_added,Disney
BEN000182,Amazon Prime 6 Months Tier 10,active,entertainment,Disney
BEN000183,Netflix Basic 3 Months Tier 10,inactive,data,Spotify
BEN000184,SonyLIV 6 Months Tier 10,active,security,Sony
BEN000185,ZEE5 Annual Tier 10,active,voice,McAfee
BEN000186,JioSaavn Premium Tier 10,active,value_added,Zee
BEN000187,Spotify Premium 3 Months Tier 10,active,communication,Telecom Co
BEN000188,YouTube Premium 3 Months Tier 10,active,communication,Spotify
BEN000189,McAfee Antivirus 1 Year Tier 10,active,data,Spotify
BEN000190,Google Drive 100GB Tier 10,active,storage,Google
BEN000191,1000 Extra SMS Tier 10,active,storage,McAfee
BEN000192,5GB Extra Data Daily Tier 10,active,communication,Amazon
BEN000193,Free International SMS 50 Tier 10,active,value_added,Sony
BEN000194,Roaming Pack 7 Days Tier 10,active,voice,McAfee
BEN000195,Caller Tune Free 3 Months Tier 10,inactive,security,Spotify
BEN000196,VoLTE Priority Tier 10,active,data,Spotify
BEN000197,Wi-Fi Calling Tier 10,active,voice,Sony
BEN000198,Cloud Backup 50GB Tier 10,active,value_added,Zee
BEN000199,Priority Customer Support Tier 10,active,voice,Google
BEN000200,Cricket Live Streaming Tier 10,active,value_added,Disney
