Tower_id,capacity,covrage_area,location,Tower_status
171,200,Highway,"Jamnagar, Gujarat — Sector 4",active
172,100,Airport,"Salem, Tamil Nadu — Sector 38",active
173,750,Commercial,"Kolhapur, Maharashtra — Sector 6",active
174,200,Commercial,"Ghaziabad, Uttar Pradesh — Sector 32",active
175,750,Mall,"Bhopal, Madhya Pradesh — Sector 50",active
176,300,Airport,"Ghaziabad, Uttar Pradesh — Sector 40",active
177,1000,Railway Station,"Nagpur, Maharashtra — Sector 7",active
178,750,Railway Station,"Vadodara, Gujarat — Sector 29",active
179,100,Highway,"Jodhpur, Rajasthan — Sector 13",active
180,750,Railway Station,"Durgapur, West Bengal — Sector 37",active
181,500,Commercial,"Guntur, Andhra Pradesh — Sector 39",active
182,500,Rural,"Nagpur, Maharashtra — Sector 48",inactive
183,750,Airport,"Faridabad, Haryana — Sector 44",active
184,750,Residential,"Ajmer, Rajasthan — Sector 50",active
185,300,Commercial,"Junagadh, Gujarat — Sector 24",active
186,300,Railway Station,"Coimbatore, Tamil Nadu — Sector 4",active
187,500,Commercial,"Junagadh, Gujarat — Sector 13",active
188,750,Railway Station,"Bellary, Karnataka — Sector 44",inactive
189,200,Commercial,"Vadodara, Gujarat — Sector 33",active
190,200,Urban,"Ujjain, Madhya Pradesh — Sector 12",maintenance
191,300,Commercial,"Bikaner, Rajasthan — Sector 32",active
192,500,Industrial,"Gandhinagar, Gujarat — Sector 26",active
193,100,Residential,"Bhopal, Madhya Pradesh — Sector 6",active
194,300,Suburban,"Junagadh, Gujarat — Sector 28",active
195,750,Highway,"Faridabad, Haryana — Sector 22",active
196,1000,Commercial,"Siliguri, West Bengal — Sector 22",active
197,100,Residential,"Bangalore, Karnataka — Sector 29",active
198,500,Mall,"Chennai, Tamil Nadu — Sector 42",maintenance
199,200,Commercial,"Patiala, Punjab — Sector 9",active
200,100,Commercial,"Patiala, Punjab — Sector 19",active
201,200,Railway Station,"Meerut, Uttar Pradesh — Sector 20",active
202,100,Railway Station,"Vijayawada, Andhra Pradesh — Sector 42",active
203,300,Residential,"Solapur, Maharashtra — Sector 25",active
204,500,Urban,"Mumbai, Maharashtra — Sector 1",maintenance
205,300,Residential,"Aurangabad, Maharashtra — Sector 50",active
206,100,Industrial,"Jabalpur, Madhya Pradesh — Sector 23",active
207,750,Highway,"Vijayawada, Andhra Pradesh — Sector 3",active
208,500,Urban,"Lucknow, Uttar Pradesh — Sector 16",active
209,300,Highway,"Amritsar, Punjab — Sector 8",active
210,200,Residential,"Nagpur, Maharashtra — Sector 10",active
211,500,Commercial,"Jamnagar, Gujarat — Sector 9",active
212,300,Railway Station,"Gurgaon, Haryana — Sector 10",maintenance
213,200,Commercial,"Gwalior, Madhya Pradesh — Sector 9",active
214,300,Commercial,"Jaipur, Rajasthan — Sector 7",active
215,300,Residential,"Jabalpur, Madhya Pradesh — Sector 11",active
216,1000,Airport,"Coimbatore, Tamil Nadu — Sector 31",active
217,100,Residential,"Meerut, Uttar Pradesh — Sector 44",active
218,750,Highway,"Indore, Madhya Pradesh — Sector 1",active
219,100,Suburban,"Asansol, West Bengal — Sector 36",active
220,100,Residential,"Chennai, Tamil Nadu — Sector 20",active
221,750,Commercial,"Agra, Uttar Pradesh — Sector 18",maintenance
222,300,Residential,"Jabalpur, Madhya Pradesh — Sector 48",active
223,750,Suburban,"Rajkot, Gujarat — Sector 38",active
224,100,Rural,"Visakhapatnam, Andhra Pradesh — Sector 14",active
225,100,Urban,"Junagadh, Gujarat — Sector 5",inactive
226,750,Industrial,"Indore, Madhya Pradesh — Sector 48",active
227,500,Railway Station,"Jabalpur, Madhya Pradesh — Sector 11",active
228,500,Suburban,"Gwalior, Madhya Pradesh — Sector 22",active
229,100,Residential,"Visakhapatnam, Andhra Pradesh — Sector 42",active
230,750,Urban,"Noida, Uttar Pradesh — Sector 26",active
231,500,Rural,"Bikaner, Rajasthan — Sector 27",active
232,500,Residential,"Agra, Uttar Pradesh — Sector 39",active
233,100,Urban,"Chennai, Tamil Nadu — Sector 34",active
234,500,Airport,"Durgapur, West Bengal — Sector 3",active
235,500,Railway Station,"Kolkata, West Bengal — Sector 14",active
236,200,Commercial,"Jodhpur, Rajasthan — Sector 36",active
237,100,Residential,"Pune, Maharashtra — Sector 14",active
238,100,Rural,"Pune, Maharashtra — Sector 38",active
239,750,Railway Station,"Pune, Maharashtra — Sector 31",active
240,200,Commercial,"Tiruchirappalli, Tamil Nadu — Sector 9",active
241,750,Commercial,"Kota, Rajasthan — Sector 43",active
242,750,Highway,"Mumbai, Maharashtra — Sector 3",active
243,100,Residential,"Mysore, Karnataka — Sector 10",maintenance
244,100,Railway Station,"Hyderabad, Telangana — Sector 3",active
245,750,Rural,"Kota, Rajasthan — Sector 11",active
246,100,Urban,"Nagpur, Maharashtra — Sector 4",maintenance
247,300,Highway,"Mangalore, Karnataka — Sector 50",active
248,100,Mall,"Mysore, Karnataka — Sector 49",active
249,500,Industrial,"Delhi, Delhi — Sector 27",maintenance
250,750,Rural,"Chandigarh, Punjab — Sector 20",maintenance
251,200,Residential,"Ludhiana, Punjab — Sector 22",active
252,300,Highway,"Guntur, Andhra Pradesh — Sector 34",active
253,750,Mall,"Durgapur, West Bengal — Sector 17",active
254,200,Suburban,"Madurai, Tamil Nadu — Sector 15",active
255,750,Residential,"Rajkot, Gujarat — Sector 42",active
256,750,Suburban,"Faridabad, Haryana — Sector 28",active
257,200,Commercial,"Vadodara, Gujarat — Sector 25",active
258,200,Rural,"Bangalore, Karnataka — Sector 12",maintenance
259,750,Industrial,"Delhi, Delhi — Sector 40",active
260,1000,Railway Station,"Pune, Maharashtra — Sector 44",active
261,300,Suburban,"Lucknow, Uttar Pradesh — Sector 50",active
262,200,Railway Station,"Nagpur, Maharashtra — Sector 50",active
263,1000,Railway Station,"Surat, Gujarat — Sector 39",active
264,100,Airport,"Hyderabad, Telangana — Sector 4",active
265,300,Commercial,"Chandigarh, Punjab — Sector 41",active
266,200,Industrial,"Bikaner, Rajasthan — Sector 21",active
267,500,Urban,"Vadodara, Gujarat — Sector 33",active
268,300,Residential,"Ajmer, Rajasthan — Sector 22",active
269,1000,Railway Station,"Hubli, Karnataka — Sector 39",active
270,750,Commercial,"Chandigarh, Punjab — Sector 37",active
271,750,Commercial,"Nagpur, Maharashtra — Sector 16",active
272,1000,Mall,"Jabalpur, Madhya Pradesh — Sector 15",active
273,200,Railway Station,"Bangalore, Karnataka — Sector 43",active
274,300,Mall,"Patiala, Punjab — Sector 36",active
275,500,Industrial,"Thane, Maharashtra — Sector 30",active
276,200,Rural,"Bellary, Karnataka — Sector 19",active
277,100,Urban,"Noida, Uttar Pradesh — Sector 31",active
278,1000,Industrial,"Bhopal, Madhya Pradesh — Sector 31",active
279,750,Highway,"Nashik, Maharashtra — Sector 44",active
280,750,Commercial,"Asansol, West Bengal — Sector 16",active
281,300,Urban,"Ghaziabad, Uttar Pradesh — Sector 32",active
282,500,Commercial,"Rajkot, Gujarat — Sector 30",maintenance
283,300,Airport,"Amritsar, Punjab — Sector 37",active
284,100,Rural,"Ghaziabad, Uttar Pradesh — Sector 33",active
285,200,Railway Station,"Salem, Tamil Nadu — Sector 19",active
286,200,Commercial,"Vadodara, Gujarat — Sector 9",active
287,750,Mall,"Agra, Uttar Pradesh — Sector 47",active
288,1000,Airport,"Ahmedabad, Gujarat — Sector 44",active
289,300,Airport,"Kolkata, West Bengal — Sector 19",active
290,100,Suburban,"Ajmer, Rajasthan — Sector 48",inactive
291,1000,Mall,"Thane, Maharashtra — Sector 7",active
292,1000,Airport,"Kolhapur, Maharashtra — Sector 11",active
293,300,Railway Station,"Madurai, Tamil Nadu — Sector 18",inactive
294,500,Industrial,"Pune, Maharashtra — Sector 6",active
295,200,Highway,"Jalandhar, Punjab — Sector 49",active
296,1000,Rural,"Mumbai, Maharashtra — Sector 3",active
297,200,Urban,"Salem, Tamil Nadu — Sector 48",active
298,500,Mall,"Indore, Madhya Pradesh — Sector 31",active
299,300,Airport,"Howrah, West Bengal — Sector 4",active
300,100,Residential,"Kolhapur, Maharashtra — Sector 26",active
301,1000,Highway,"Vadodara, Gujarat — Sector 5",active
302,750,Mall,"Coimbatore, Tamil Nadu — Sector 20",active
303,750,Industrial,"Mumbai, Maharashtra — Sector 4",active
304,750,Residential,"Kolkata, West Bengal — Sector 26",active
305,750,Highway,"Ghaziabad, Uttar Pradesh — Sector 46",active
306,200,Highway,"Warangal, Telangana — Sector 4",active
307,300,Rural,"Mysore, Karnataka — Sector 33",active
308,750,Commercial,"Ajmer, Rajasthan — Sector 18",active
309,200,Highway,"Jaipur, Rajasthan — Sector 28",active
310,500,Rural,"Mangalore, Karnataka — Sector 18",active
311,100,Industrial,"Faridabad, Haryana — Sector 26",active
312,200,Industrial,"Asansol, West Bengal — Sector 8",active
313,200,Railway Station,"Chennai, Tamil Nadu — Sector 42",active
314,200,Suburban,"Ahmedabad, Gujarat — Sector 19",active
315,1000,Suburban,"Jaipur, Rajasthan — Sector 4",active
316,300,Commercial,"Chennai, Tamil Nadu — Sector 44",inactive
317,200,Residential,"Chandigarh, Punjab — Sector 17",active
318,500,Highway,"Nashik, Maharashtra — Sector 23",active
319,300,Residential,"Ahmedabad, Gujarat — Sector 7",active
320,1000,Highway,"Amritsar, Punjab — Sector 16",active
321,750,Airport,"Agra, Uttar Pradesh — Sector 12",active
322,750,Airport,"Visakhapatnam, Andhra Pradesh — Sector 9",active
323,100,Commercial,"Howrah, West Bengal — Sector 26",active
324,750,Commercial,"Nashik, Maharashtra — Sector 41",active
325,1000,Industrial,"Visakhapatnam, Andhra Pradesh — Sector 25",active
326,500,Urban,"Aurangabad, Maharashtra — Sector 34",active
327,300,Industrial,"Gandhinagar, Gujarat — Sector 45",active
328,750,Highway,"Visakhapatnam, Andhra Pradesh — Sector 17",active
329,100,Rural,"Agra, Uttar Pradesh — Sector 27",active
330,750,Rural,"Junagadh, Gujarat — Sector 30",active
331,1000,Airport,"Chandigarh, Punjab — Sector 32",active
332,100,Suburban,"Ajmer, Rajasthan — Sector 6",active
333,1000,Commercial,"Rajkot, Gujarat — Sector 15",active
334,500,Residential,"Solapur, Maharashtra — Sector 38",active
335,100,Airport,"Jalandhar, Punjab — Sector 17",inactive
336,1000,Mall,"Siliguri, West Bengal — Sector 41",active
337,200,Commercial,"Chennai, Tamil Nadu — Sector 23",inactive
338,750,Suburban,"Meerut, Uttar Pradesh — Sector 33",active
339,750,Airport,"Bangalore, Karnataka — Sector 10",active
340,750,Residential,"Patiala, Punjab — Sector 48",active
341,1000,Highway,"Udaipur, Rajasthan — Sector 33",active
342,1000,Railway Station,"Kota, Rajasthan — Sector 30",active
343,100,Railway Station,"Amritsar, Punjab — Sector 43",active
344,1000,Airport,"Chandigarh, Punjab — Sector 27",maintenance
345,750,Urban,"Udaipur, Rajasthan — Sector 19",active
346,1000,Airport,"Warangal, Telangana — Sector 47",active
347,100,Highway,"Salem, Tamil Nadu — Sector 35",active
348,200,Rural,"Patiala, Punjab — Sector 33",active
349,200,Highway,"Jamnagar, Gujarat — Sector 48",active
350,750,Suburban,"Asansol, West Bengal — Sector 38",active
351,300,Suburban,"Siliguri, West Bengal — Sector 49",active
352,200,Airport,"Gandhinagar, Gujarat — Sector 27",active
353,500,Airport,"Bellary, Karnataka — Sector 42",active
354,200,Airport,"Gwalior, Madhya Pradesh — Sector 9",maintenance
355,100,Urban,"Faridabad, Haryana — Sector 2",active
356,300,Suburban,"Jalandhar, Punjab — Sector 11",active
357,500,Airport,"Asansol, West Bengal — Sector 41",active
358,100,Industrial,"Ajmer, Rajasthan — Sector 5",active
359,300,Mall,"Visakhapatnam, Andhra Pradesh — Sector 43",active
360,1000,Railway Station,"Thane, Maharashtra — Sector 37",active
361,300,Highway,"Coimbatore, Tamil Nadu — Sector 19",active
362,300,Rural,"Amritsar, Punjab — Sector 20",maintenance
363,200,Industrial,"Chennai, Tamil Nadu — Sector 26",active
364,100,Commercial,"Howrah, West Bengal — Sector 28",active
365,100,Industrial,"Kolkata, West Bengal — Sector 15",inactive
366,100,Industrial,"Warangal, Telangana — Sector 13",active
367,500,Suburban,"Delhi, Delhi — Sector 49",maintenance
368,1000,Rural,"Bhopal, Madhya Pradesh — Sector 23",active
369,500,Airport,"Gurgaon, Haryana — Sector 36",active
370,300,Urban,"Madurai, Tamil Nadu — Sector 34",active
371,500,Industrial,"Ludhiana, Punjab — Sector 38",active
372,300,Urban,"Bangalore, Karnataka — Sector 9",active
373,200,Railway Station,"Mangalore, Karnataka — Sector 5",active
374,300,Rural,"Jamnagar, Gujarat — Sector 28",active
375,1000,Mall,"Bhavnagar, Gujarat — Sector 27",active
376,200,Railway Station,"Kota, Rajasthan — Sector 13",active
377,500,Commercial,"Kolkata, West Bengal — Sector 49",active
378,750,Residential,"Kolhapur, Maharashtra — Sector 33",active
379,200,Urban,"Coimbatore, Tamil Nadu — Sector 37",active
380,1000,Highway,"Pune, Maharashtra — Sector 8",active
381,500,Commercial,"Aurangabad, Maharashtra — Sector 34",maintenance
382,100,Urban,"Meerut, Uttar Pradesh — Sector 38",active
383,200,Industrial,"Ghaziabad, Uttar Pradesh — Sector 12",active
384,300,Mall,"Agra, Uttar Pradesh — Sector 46",active
385,300,Suburban,"Gandhinagar, Gujarat — Sector 8",active
386,200,Mall,"Kolkata, West Bengal — Sector 22",active
387,750,Industrial,"Indore, Madhya Pradesh — Sector 37",active
388,100,Suburban,"Amritsar, Punjab — Sector 16",active
389,100,Industrial,"Chandigarh, Punjab — Sector 7",active
390,100,Highway,"Vadodara, Gujarat — Sector 43",active
391,100,Urban,"Mumbai, Maharashtra — Sector 1",active
392,100,Highway,"Coimbatore, Tamil Nadu — Sector 39",active
393,200,Rural,"Jodhpur, Rajasthan — Sector 10",active
394,500,Residential,"Patiala, Punjab — Sector 27",active
395,750,Suburban,"Solapur, Maharashtra — Sector 20",active
396,750,Industrial,"Meerut, Uttar Pradesh — Sector 2",active
397,100,Residential,"Meerut, Uttar Pradesh — Sector 18",maintenance
398,1000,Railway Station,"Hubli, Karnataka — Sector 25",active
399,750,Mall,"Gurgaon, Haryana — Sector 20",active
400,1000,Residential,"Junagadh, Gujarat — Sector 36",active
401,1000,Urban,"Warangal, Telangana — Sector 16",active
402,1000,Residential,"Patiala, Punjab — Sector 48",active
403,500,Mall,"Vadodara, Gujarat — Sector 17",active
404,500,Mall,"Jamnagar, Gujarat — Sector 8",active
405,500,Industrial,"Nagpur, Maharashtra — Sector 14",inactive
406,200,Airport,"Agra, Uttar Pradesh — Sector 18",active
407,100,Highway,"Vijayawada, Andhra Pradesh — Sector 45",active
408,100,Urban,"Bhopal, Madhya Pradesh — Sector 42",active
409,300,Railway Station,"Amritsar, Punjab — Sector 22",active
410,200,Airport,"Bikaner, Rajasthan — Sector 21",active
411,300,Suburban,"Kolhapur, Maharashtra — Sector 44",active
412,300,Railway Station,"Vijayawada, Andhra Pradesh — Sector 22",active
413,200,Rural,"Chandigarh, Punjab — Sector 37",active
414,200,Residential,"Warangal, Telangana — Sector 37",active
415,300,Residential,"Ajmer, Rajasthan — Sector 39",active
416,750,Railway Station,"Bikaner, Rajasthan — Sector 22",active
417,300,Residential,"Vadodara, Gujarat — Sector 39",maintenance
418,750,Railway Station,"Hubli, Karnataka — Sector 42",active
419,300,Suburban,"Nagpur, Maharashtra — Sector 26",active
420,200,Commercial,"Vijayawada, Andhra Pradesh — Sector 38",active
421,200,Industrial,"Faridabad, Haryana — Sector 6",active
422,1000,Airport,"Durgapur, West Bengal — Sector 50",active
423,1000,Airport,"Jalandhar, Punjab — Sector 12",active
424,100,Residential,"Kolkata, West Bengal — Sector 5",active
425,750,Residential,"Junagadh, Gujarat — Sector 6",active
426,200,Railway Station,"Nashik, Maharashtra — Sector 16",maintenance
427,500,Rural,"Mumbai, Maharashtra — Sector 16",active
428,100,Highway,"Kolhapur, Maharashtra — Sector 36",active
429,300,Urban,"Noida, Uttar Pradesh — Sector 38",active
430,1000,Suburban,"Ghaziabad, Uttar Pradesh — Sector 10",active
431,500,Suburban,"Solapur, Maharashtra — Sector 30",active
432,750,Suburban,"Visakhapatnam, Andhra Pradesh — Sector 17",active
433,750,Airport,"Nashik, Maharashtra — Sector 13",active
434,100,Railway Station,"Chandigarh, Punjab — Sector 1",maintenance
435,100,Urban,"Chennai, Tamil Nadu — Sector 17",active
436,100,Mall,"Junagadh, Gujarat — Sector 29",active
437,100,Airport,"Mangalore, Karnataka — Sector 22",active
438,1000,Suburban,"Howrah, West Bengal — Sector 4",active
439,750,Industrial,"Faridabad, Haryana — Sector 5",active
440,1000,Commercial,"Delhi, Delhi — Sector 8",active
441,500,Highway,"Faridabad, Haryana — Sector 44",maintenance
442,300,Commercial,"Ujjain, Madhya Pradesh — Sector 7",active
443,750,Residential,"Asansol, West Bengal — Sector 5",active
444,300,Urban,"Delhi, Delhi — Sector 12",maintenance
445,750,Suburban,"Thane, Maharashtra — Sector 29",active
446,300,Urban,"Salem, Tamil Nadu — Sector 17",active
447,300,Mall,"Madurai, Tamil Nadu — Sector 47",active
448,500,Highway,"Jabalpur, Madhya Pradesh — Sector 20",active
449,1000,Railway Station,"Meerut, Uttar Pradesh — Sector 39",maintenance
